,total_rev,total_profit,count,title_names,total_budget,name,return
Joel Gallen,66500000.0,18250000.0,1,Not Another Teen Movie**,15000000.0,Joel Gallen,1.21666666667
Alec Berg,20796847.0,-14601576.5,1,EuroTrip**,25000000.0,Alec Berg,-0.58406306
Simon J Smith,660600000.0,48300000.0,2,Bee Movie**Penguins of Madagascar**,282000000.0,Simon J Smith,0.171276595745
Asger Leth,46200000.0,-18900000.0,1,Man on a Ledge**,42000000.0,Asger Leth,-0.45
Anand Tucker,32600000.0,-2700000.0,1,Leap Year**,19000000.0,Anand Tucker,-0.142105263158
Sydney Pollack,162900000.0,1450000.0,1,The Interpreter**,80000000.0,Sydney Pollack,0.018125
Jonathan M Gunn,14400000.0,4900000.0,1,Do You Believe?**,2300000.0,Jonathan M Gunn,2.13043478261
Jamie Travis,1251749.0,-674125.5,1,"For a Good Time, Call...**",1300000.0,Jamie Travis,-0.518558076923
Franc Reyes,18591272.0,5295636.0,1,Empire**,4000000.0,Franc Reyes,1.323909
Edgar Wright,47700000.0,-61150000.0,1,Scott Pilgrim vs. the World**,85000000.0,Edgar Wright,-0.719411764706
Iain Softley,219451846.0,-61274077.0,3,K-PAX**The Skeleton Key**Inkheart**,171000000.0,Iain Softley,-0.358327935673
Tamara Jenkins,9610042.0,-4194979.0,1,The Savages**,9000000.0,Tamara Jenkins,-0.466108777778
Lawrence Guterman,258300000.0,-14850000.0,2,Cats and Dogs**Son of the Mask**,144000000.0,Lawrence Guterman,-0.103125
Bruno Barreto,19500000.0,-20250000.0,1,View from the Top**,30000000.0,Bruno Barreto,-0.675
Phil Traill,40100000.0,5050000.0,1,All About Steve**,15000000.0,Phil Traill,0.336666666667
Matt Maiellaro,5500000.0,2000000.0,1,Aqua Teen Hunger Force Colon Movie Film for Theaters**,750000.0,Matt Maiellaro,2.66666666667
Steven Zaillian,9500000.0,-50250000.0,1,All the King's Men**,55000000.0,Steven Zaillian,-0.913636363636
James McTeigue uncredited,40200000.0,-44900000.0,1,The Invasion**,65000000.0,James McTeigue uncredited,-0.690769230769
Babak Najafi,205800000.0,42900000.0,1,London Has Fallen**,60000000.0,Babak Najafi,0.715
Fina Torres,10200000.0,-2900000.0,1,Woman on Top**,8000000.0,Fina Torres,-0.3625
James Gunn,786522618.0,143461309.0,3,Slither**Super**Guardians of the Galaxy**,249800000.0,James Gunn,0.574304679744
Francine McDougall,16908947.0,-18545526.5,1,Sugar & Spice**,27000000.0,Francine McDougall,-0.686871351852
Jon Turteltaub,1275900000.0,164950000.0,5,The Kid**National Treasure**National Treasure: Book of Secrets**The Sorcerer's Apprentice**Last Vegas**,473000000.0,Jon Turteltaub,0.348731501057
Christine Lahti,595005.0,-4952497.5,1,My First Mister**,5250000.0,Christine Lahti,-0.943332857143
Steve McQueen,187700000.0,76750000.0,1,12 Years a Slave**,17100000.0,Steve McQueen,4.48830409357
Alan Taylor,1085200000.0,217600000.0,2,Thor: The Dark World**Terminator Genisys**,325000000.0,Alan Taylor,0.669538461538
Doug Sweetland,182400000.0,21200000.0,1,Storks**,70000000.0,Doug Sweetland,0.302857142857
Hugh Hudson,14400327.0,-42799836.5,1,I Dreamed of Africa**,50000000.0,Hugh Hudson,-0.85599673
Todd StraussSchulson,35400000.0,-1300000.0,1,A Very Harold & Kumar 3D Christmas**,19000000.0,Todd StraussSchulson,-0.0684210526316
Bruce Hunt,33296457.0,-13351771.5,1,The Cave**,30000000.0,Bruce Hunt,-0.44505905
Hoyt Yeatman,292800000.0,-3600000.0,1,G-Force**,150000000.0,Hoyt Yeatman,-0.024
Abe Sylvia,55125.0,-3972437.5,1,Dirty Girl**,4000000.0,Abe Sylvia,-0.993109375
Patrick Lussier,185220000.0,-35390000.0,4,Dracula 2000**White Noise: The Light**My Bloody Valentine 3D**Drive Angry**,128000000.0,Patrick Lussier,-0.276484375
George Nolfi,127900000.0,13750000.0,1,The Adjustment Bureau**,50200000.0,George Nolfi,0.27390438247
Tom Shadyac,984300000.0,122150000.0,4,The Nutty Professor**Dragonfly**Bruce Almighty**Evan Almighty**,370000000.0,Tom Shadyac,0.330135135135
Bonnie Hunt,36609995.0,-5695002.5,1,Return to Me**,24000000.0,Bonnie Hunt,-0.237291770833
Galt Niederhoffer,123820.0,-4438090.0,1,The Romantics**,4500000.0,Galt Niederhoffer,-0.986242222222
Anne De Salvo,49136.0,-975432.0,1,The Amati Girls**,1000000.0,Anne De Salvo,-0.975432
Gillian Robespierre,3300000.0,650000.0,1,Obvious Child**,1000000.0,Gillian Robespierre,0.65
Gordon Chan,34268701.0,-23865649.5,1,The Medallion**,41000000.0,Gordon Chan,-0.582089012195
Danny Cannon,27600000.0,-19200000.0,1,Goal! The Dream Begins**,33000000.0,Danny Cannon,-0.581818181818
Jeff Nathanson,464000.0,-7768000.0,1,The Last Shot**,8000000.0,Jeff Nathanson,-0.971
Ariel Vromen,43200000.0,-19900000.0,2,The Iceman**Criminal**,41500000.0,Ariel Vromen,-0.479518072289
John Dahl,51148295.0,-81425852.5,3,Joy Ride**The Great Raid**You Kill Me**,107000000.0,John Dahl,-0.760989275701
Jim Field Smith,49800000.0,4900000.0,1,She's Out of My League**,20000000.0,Jim Field Smith,0.245
Fede lvarez,97500000.0,31750000.0,1,Evil Dead**,17000000.0,Fede lvarez,1.86764705882
Nicole Kassell,5996937.0,-12001531.5,2,The Woodsman**A Little Bit of Heaven**,15000000.0,Nicole Kassell,-0.8001021
Tom Dey,389200000.0,-45400000.0,4,Shanghai Noon**Showtime**Failure to Launch**Marmaduke**,240000000.0,Tom Dey,-0.189166666667
Lorna Cook,122600000.0,-18700000.0,1,Spirit: Stallion of the Cimarron**,80000000.0,Lorna Cook,-0.23375
Tom McCarthy,21779814.0,-4610093.0,3,The Station Agent**Win Win**The Cobbler**,15500000.0,Tom McCarthy,-0.297425354839
Aaron Blaise,250400000.0,79200000.0,1,Brother Bear**,46000000.0,Aaron Blaise,1.72173913043
Roberts Gannaway,151400000.0,25700000.0,1,Planes: Fire & Rescue**,50000000.0,Roberts Gannaway,0.514
Ben Coccio,8466.0,-15767.0,1,Zero Day**,20000.0,Ben Coccio,-0.78835
Stephen Daldry,272900000.0,39450000.0,3,The Hours**The Reader**Extremely Loud & Incredibly Close**,97000000.0,Stephen Daldry,0.406701030928
Oren Moverman,1521261.0,-5739369.5,1,The Messenger**,6500000.0,Oren Moverman,-0.882979923077
David Wain,116895206.0,-6352397.0,3,Wet Hot American Summer**Role Models**Wanderlust**,64800000.0,David Wain,-0.0980308179012
Christian Ditter,112300000.0,18150000.0,1,How to Be Single**,38000000.0,Christian Ditter,0.477631578947
Anthony Stacchi,109300000.0,-5350000.0,1,The Boxtrolls**,60000000.0,Anthony Stacchi,-0.0891666666667
Animation,14000000.0,-63000000.0,1,Osmosis Jones**,70000000.0,Animation,-0.9
Baz Luhrmann,530200000.0,108100000.0,2,Moulin Rouge!**The Great Gatsby**,157000000.0,Baz Luhrmann,0.688535031847
Geoffrey S Fletcher,17186.0,-7991407.0,1,Violet & Daisy**,8000000.0,Geoffrey S Fletcher,-0.998925875
Fred Walton,20149106.0,8574553.0,1,When a Stranger Calls**,1500000.0,Fred Walton,5.71636866667
Michael Radford,21417725.0,-19291137.5,1,The Merchant of Venice**,30000000.0,Michael Radford,-0.643037916667
Marc Webb,1527600000.0,326300000.0,3,500 Days of Summer**The Amazing Spider-Man**The Amazing Spider-Man 2**,437500000.0,Marc Webb,0.745828571429
Bruce Hendricks,70600000.0,28300000.0,1,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert**,7000000.0,Bruce Hendricks,4.04285714286
Vincent Paronnaud,22800000.0,4100000.0,1,Persepolis**,7300000.0,Vincent Paronnaud,0.561643835616
Jim Sonzero,29907685.0,-5546157.5,1,Pulse**,20500000.0,Jim Sonzero,-0.270544268293
Jehane Noujaim,2586511.0,1233255.5,1,Control Room**,60000.0,Jehane Noujaim,20.5542583333
Steve Carr,624400000.0,103600000.0,6,Next Friday**Dr. Dolittle 2**Daddy Day Care**Rebound**Paul Blart: Mall Cop**Middle School: The Worst Years of My Life**,208600000.0,Steve Carr,0.496644295302
Tom Brady,70639154.0,-27680423.0,3,The Hot Chick**The Comebacks**Bucky Larson: Born to Be a Star**,63000000.0,Tom Brady,-0.439371793651
Mike Thurmeier codirector,886000000.0,353000000.0,1,Ice Age: Dawn of the Dinosaurs**,90000000.0,Mike Thurmeier codirector,3.92222222222
Craig McCracken,16400000.0,-2800000.0,1,The Powerpuff Girls Movie**,11000000.0,Craig McCracken,-0.254545454545
Mike Judge,11295303.0,-4352348.5,2,Idiocracy**Extract**,10000000.0,Mike Judge,-0.43523485
Bryan Barber,12643027.0,-3678486.5,1,Idlewild**,10000000.0,Bryan Barber,-0.36784865
Randall Wallace,276260784.0,16130392.0,3,We Were Soldiers**Secretariat**Heaven Is for Real**,122000000.0,Randall Wallace,0.132216327869
Gary Goldman,36800000.0,-56600000.0,1,Titan A.E.**,75000000.0,Gary Goldman,-0.754666666667
John Madden,207902755.0,-3048622.5,4,Captain Corelli's Mandolin**Proof**The Debt**The Second Best Exotic Marigold Hotel**,107000000.0,John Madden,-0.0284917990654
Bart Freundlich,16900000.0,-3550000.0,1,Catch That Kid!**,12000000.0,Bart Freundlich,-0.295833333333
David Koepp,198400000.0,-55800000.0,4,Secret Window**Ghost Town**Premium Rush**Mortdecai**,155000000.0,David Koepp,-0.36
Alejandro G Irritu,533000000.0,131500000.0,1,The Revenant**,135000000.0,Alejandro G Irritu,0.974074074074
Cameron Crowe,449200000.0,-50400000.0,5,Almost Famous**Vanilla Sky**Elizabethtown**We Bought a Zoo**Aloha**,275000000.0,Cameron Crowe,-0.183272727273
Jimmy Hayward,418400000.0,22200000.0,3,Horton Hears a Who!**Jonah Hex**Free Birds**,187000000.0,Jimmy Hayward,0.11871657754
Jeremy Garelick,79800000.0,16900000.0,1,The Wedding Ringer**,23000000.0,Jeremy Garelick,0.734782608696
Courtney Solomon,45600000.0,-40200000.0,2,Dungeons & Dragons**Getaway**,63000000.0,Courtney Solomon,-0.638095238095
Greg Berlanti,107667827.0,14833913.5,2,The Broken Hearts Club: A Romantic Comedy**Life As We Know It**,39000000.0,Greg Berlanti,0.38035675641
Lance Rivera,17821851.0,-27089074.5,2,The Cookout**The Perfect Holiday**,36000000.0,Lance Rivera,-0.752474291667
Malcolm D Lee,354682263.0,1341131.5,8,Undercover Brother**Roll Bounce**Soul Men**Welcome Home Roscoe Jenkins**The Best Man Holiday**The Best Man**Scary Movie 5**Barbershop: The Next Cut**,176000000.0,Malcolm D Lee,0.00762006534091
Darren Aronofsky,760100000.0,196550000.0,5,Requiem for a Dream**The Fountain**The Wrestler**Black Swan**Noah**,183500000.0,Darren Aronofsky,1.07111716621
Clay Kaytis,349800000.0,101900000.0,1,The Angry Birds Movie**,73000000.0,Clay Kaytis,1.39589041096
Andrew Morahan,12300000.0,-19850000.0,1,Highlander: The Final Dimension**,26000000.0,Andrew Morahan,-0.763461538462
Jonathan Dayton,100500000.0,42250000.0,1,Little Miss Sunshine**,8000000.0,Jonathan Dayton,5.28125
Tim McCanlies,76000000.0,8000000.0,1,Secondhand Lions**,30000000.0,Tim McCanlies,0.266666666667
Hironobu Sakaguchi,85100000.0,-94450000.0,1,Final Fantasy: The Spirits Within**,137000000.0,Hironobu Sakaguchi,-0.689416058394
Andrew Douglas,108000000.0,35000000.0,1,The Amityville Horror**,19000000.0,Andrew Douglas,1.84210526316
Jason Momoa,937000.0,-131500.0,1,Road to Paloma**,600000.0,Jason Momoa,-0.219166666667
Tommy Wirkola,226300000.0,63150000.0,1,Hansel & Gretel: Witch Hunters**,50000000.0,Tommy Wirkola,1.263
James Cameron,5494800000.0,2208400000.0,3,Terminator 2: Judgment Day**Avatar**Titanic**,539000000.0,James Cameron,4.09721706865
Eric Bross,4403019.0,-13798490.5,1,On the Line**,16000000.0,Eric Bross,-0.86240565625
Barry Cook,126500000.0,-16750000.0,1,Walking with Dinosaurs**,80000000.0,Barry Cook,-0.209375
Michael Brandt,3696232.0,-15151884.0,1,The Double**,17000000.0,Michael Brandt,-0.891287294118
Marjane Satrapi,444196.0,-10777902.0,1,The Voices**,11000000.0,Marjane Satrapi,-0.979809272727
Andrew Davis,244673540.0,-52663230.0,3,Collateral Damage**Holes**The Guardian**,175000000.0,Andrew Davis,-0.300932742857
Nima Nourizadeh,102700000.0,39350000.0,1,Project X**,12000000.0,Nima Nourizadeh,3.27916666667
Oren Peli,193400000.0,96685000.0,1,Paranormal Activity**,15000.0,Oren Peli,6445.66666667
Jerry Gerard,600000000.0,299952500.0,1,Deep Throat**,47500.0,Jerry Gerard,6314.78947368
Rodrigo Garca,11362923.0,-26818538.5,3,Nine Lives**Passengers**Mother and Child**,32500000.0,Rodrigo Garca,-0.8251858
Peter Weir,212000000.0,-44000000.0,1,Master and Commander: The Far Side of the World**,150000000.0,Peter Weir,-0.293333333333
Darren Grant,50700000.0,19850000.0,1,Diary of a Mad Black Woman**,5500000.0,Darren Grant,3.60909090909
Aristomenis Tsirbas,6100000.0,-950000.0,1,Battle for Terra**,4000000.0,Aristomenis Tsirbas,-0.2375
Scott Frank,67471181.0,-10264409.5,2,The Lookout**A Walk Among the Tombstones**,44000000.0,Scott Frank,-0.233282034091
Mennan Yapo,84100000.0,22050000.0,1,Premonition**,20000000.0,Mennan Yapo,1.1025
Michael McCullers,64200000.0,2100000.0,1,Baby Mama**,30000000.0,Michael McCullers,0.07
Mike Johnson,117200000.0,18600000.0,1,Corpse Bride**,40000000.0,Mike Johnson,0.465
Vic Armstrong,27600000.0,-2200000.0,1,Left Behind**,16000000.0,Vic Armstrong,-0.1375
Chris Stokes,48600000.0,16300000.0,1,You Got Served**,8000000.0,Chris Stokes,2.0375
Todd Lincoln,9627492.0,-12186254.0,1,The Apparition**,17000000.0,Todd Lincoln,-0.716838470588
Andy Cheng,8267379.0,-21866310.5,1,Redline**,26000000.0,Andy Cheng,-0.841011942308
James Cox,7700900.0,-3649550.0,2,Wonderland**Straight A's**,7500000.0,James Cox,-0.486606666667
Casey La Scala,5141166.0,-3429417.0,1,Grind**,6000000.0,Casey La Scala,-0.5715695
